id,description,price,active,country,grapes,img,vintage,wine_name,wine_producer,category
1," At this brilliant level it is hard to find such a splendidly identifiable Syrah. This is good - there is nice lift and spice. The fruit is dark, with blackberry and damson notes, yet not overly cooked nor too sweet - and...(read more)",8,1,France,Syrah.,https://www.leaandsandeman.co.uk//photos/2020-LA-PETITE-SYRAH-Domaine-les-Yeuses.90x235.27443.png,2020,LA PETITE SYRAH,Domaine les Yeuse,Red
2," We couldn't quite believe the price when we tasted this delicious juicy red from southern Spain. Bobal is the grape, not widely known, but on this showing it deserves a much bigger audience. Plum, blackberry, dark cherry...(read more)",8,1,Spain,Bobal. Certified Organi,https://www.leaandsandeman.co.uk//photos/2021-CHAVAL-Bobal-Ecologica-Bodegas-Nodus.90x235.28755.png,2021,CHAVAL,Bobal 'Ecologica' Bodegas Nodu,Red
3," There is a joyous nose of dark cherry, damson and raspberry, all backed by a lively pepperiness. Smooth and supple and not in any way heavy (which is something lesser Garnachas can lean towards).",8,1,Spain,"Syrah, Garnacha.",https://www.leaandsandeman.co.uk//photos/2020-GARNACHA-Bodegas-y-Vinedos-Monfil.90x235.27061.png,2020,GARNACHA,Bodegas y Viñedos Monfi,Red
4," Blend of fruit from Agrelo and Paraje Altamira, 100% Malbec. Entry level, the only one with Mendoza on label rather than something more specific. It may include bought-in fruit. Unoaked. Straightforward simple fruit. Rea...(read more)",9,1,Argentina,Malbec.,https://www.leaandsandeman.co.uk//photos/2019-MALBEC-Atorrante-Chakana.90x235.27142.png,2019,MALBEC,Atorrante Chakan,Red
5,,9,1,France,Merlot.,https://www.leaandsandeman.co.uk//photos/2018-MERLOT-Domaine-de-Valensac.90x235.25048.png,2018,MERLOT,Domaine de Valensa,Red
6, The wine merchant Lea & Sandeman sells a brilliant earthy-savoury malbec made from grapes grown in the Cahors area (but not sold as a Cahors) called Gaudou Exception. ,9,1,France France,Malbec.,https://www.leaandsandeman.co.uk//photos/2020-GAUDOU-EXCEPTION-MALBEC-Fabrice-Durou.90x235.27447.png,2020,GAUDO, 'EXCEPTION' MALBEC Fabrice Duro,Red
7,,9,1,Spain,Monastrell.,https://www.leaandsandeman.co.uk//photos/2020-OLD-HANDS-Monastrell-Ecologico-Bodegas-La-Purisima.90x235.27458.png,2020,OLD HANDS,Monastrell Ecológico Bodegas La Purisim,Red
8, Medium colour. Quite firm peppery fruit on the palate and a youthful palate with firm fruit. Nicely balanced.,9,1,France,Syrah. Vega,https://www.leaandsandeman.co.uk//photos/2021-T-AIR-D-OC-Syrah-Domaine-Gayda.90x235.28846.png,2021,’AIR D’OC Syrah,Domaine Gayd,Red
9," A supple, accessible Zinfandel with aromas of blueberry, blackberry and mocha. Medium weight and with a bright acid lift to the palate, that makes this very easy drinking.",10,1,France,Zinfandel.,https://www.leaandsandeman.co.uk//photos/2017-OLD-VINE-ZINFANDEL-Scotto-Family-Vineyards.90x235.25478.png,2017,OLD VINE ZINFANDEL,Scotto Family Vineyard,Red
10,,10,1,Italy,Primitivo.,https://www.leaandsandeman.co.uk//photos/2021-PRIMITIVO-Salento-Cantine-de-Falco.90x235.28778.png,2021,PRIMITIVO,Salento Cantine de Falc,Red
